type	latitude	longitude	altitude (m)	name
W	22.195941726	-101.018737930	1899.0	P_277
W	22.001369990	-101.054785220	2668.3	P_278
W	22.414009361	-100.956279209	1843.0	P_279
W	22.008462105	-100.899489740	1897.7	P_280
W	22.561792812	-101.030237374	1710.4	P_281
W	22.561484141	-100.971613484	1668.0	P_282
W	22.524459342	-100.937473255	1745.9	P_283
W	22.437211532	-100.840729427	1830.0	P_284
W	22.076469128	-101.017413178	2333.0	P_285
W	22.371574317	-100.894834781	1865.0	P_286
W	22.107589116	-101.009160803	2074.0	P_287
W	22.146270665	-101.088002599	2067.8	P_288
W	22.083306924	-101.028928806	2235.6	P_289
W	22.472645502	-100.787978576	2064.7	P_290
W	22.001171236	-101.079471124	2599.8	P_291
W	22.029371688	-100.838736748	1848.0	P_292
W	22.092624584	-101.026274972	2203.0	P_293
W	21.999812273	-101.055224567	2657.4	P_294
W	22.592137580	-101.045139273	1739.0	P_295
W	22.453850527	-100.780475208	2114.0	P_296
W	22.046571980	-101.123163181	2357.4	P_297
W	22.471853248	-100.778341158	2201.9	P_298
W	22.122201726	-100.964806406	1879.0	P_299
W	22.037073797	-100.904336318	1916.1	P_300
W	22.372712191	-100.976094931	1821.0	P_301
W	22.024496627	-101.106385292	2387.7	P_302
W	22.155633681	-100.984591623	1867.0	P_303
W	22.012167317	-100.870844054	1861.0	P_304
W	22.127872772	-101.062346079	2023.6	P_305
W	22.415144934	-100.846712144	1829.0	P_306
W	22.005251457	-100.818636548	1861.1	P_307
W	22.066235688	-101.025751590	2354.0	P_308
W	22.338476234	-100.871940198	1831.0	P_309
W	22.456562014	-100.936306771	1928.6	P_310
W	22.555196907	-101.112204264	1884.9	P_311
W	22.028998060	-100.999901139	2362.8	P_312
W	22.554348856	-101.060891763	1755.6	P_313
W	22.056342349	-100.879346582	1872.0	P_314
W	22.557219813	-101.069755622	1772.3	P_315
W	22.403383294	-100.917412811	1957.1	P_316
W	22.427268583	-100.946367059	1911.0	P_317
W	22.109869333	-101.127279974	2094.7	P_318
W	22.586022308	-101.026981890	1715.1	P_319
W	22.138360696	-101.061703270	2049.9	P_320
W	22.432879666	-100.991442127	1879.6	P_321
W	22.134200917	-100.940153760	1853.0	P_322
W	22.468165322	-100.937789623	1862.8	P_323
W	22.488503159	-101.048885614	1728.7	P_324
W	22.024837245	-100.808551734	1870.0	P_325
W	22.452581143	-100.791625009	1997.6	P_326
W	22.590741780	-100.929486700	1648.0	P_327
W	22.034623030	-100.793888114	1885.0	P_328
W	22.457481136	-100.798223615	2079.1	P_329
W	22.023826921	-101.159185763	2294.4	P_330
W	22.521169617	-101.006112378	1690.6	P_331
W	22.103219519	-100.921620390	1847.0	P_332
W	22.286185669	-100.938467169	1830.0	P_333
W	22.323644658	-100.989739259	1833.0	P_334
W	22.438535710	-100.906003674	1877.1	P_335
W	22.044745272	-100.875647366	1871.0	P_336
W	22.382167870	-100.985661239	1817.0	P_337
W	22.602338525	-100.960187805	1651.0	P_338
W	22.201887382	-100.961861873	1857.0	P_339
W	22.579714665	-100.952734927	1657.0	P_340
W	22.417433514	-100.819431709	1849.3	P_341
W	22.384636847	-101.003050525	1819.0	P_342
W	22.529814385	-100.992540282	1689.2	P_343
W	22.061126493	-101.072123819	2146.9	P_344
W	22.589306391	-100.997443000	1671.1	P_345
W	22.143117278	-101.092970632	2148.3	P_346
W	22.265981033	-100.993422325	1853.0	P_347
W	22.057610297	-100.945896712	2072.0	P_348
W	22.592704681	-101.008716138	1683.0	P_349
W	22.434168625	-100.820591250	1876.2	P_350
W	22.077010873	-101.116125250	2207.9	P_351
W	22.450584363	-100.869688446	1851.0	P_352
W	22.001432699	-100.858941207	1841.1	P_353
W	22.585231030	-100.928334226	1649.0	P_354
W	22.398758652	-100.975880410	1819.0	P_355
W	22.059716405	-100.983228051	2267.7	P_356
W	22.129842048	-100.964278347	1872.9	P_357
W	22.031538800	-101.146259358	2348.9	P_358
W	22.550110092	-101.093540371	1836.3	P_359
W	22.180141736	-101.014352274	1895.0	P_360
W	22.111958364	-101.062884030	2034.0	P_361
W	22.039029453	-100.976905311	2530.9	P_362
W	22.491913365	-100.954372008	1792.9	P_363
W	22.594392070	-101.040787009	1739.3	P_364
W	22.041092955	-100.907104960	1921.1	P_365
W	22.020254130	-100.874253689	1863.9	P_366
W	22.190022671	-101.016382152	1897.5	P_367
W	22.076064928	-100.908595741	1903.7	P_368
W	22.125613513	-100.981181164	1882.0	P_369
W	22.153110546	-100.967882624	1862.3	P_370
W	22.421144571	-100.844426813	1829.7	P_371
W	22.133925160	-101.119478259	2244.9	P_372
W	22.111152033	-101.083903069	1978.4	P_373
W	22.206521920	-101.004626095	1889.0	P_374
W	22.288647263	-100.946572890	1830.0	P_375
W	21.980311539	-100.825410199	1840.0	P_376
W	22.075527544	-101.073097464	2260.4	P_377
W	22.409168899	-100.835877158	1827.0	P_378
W	22.116129269	-101.012714011	2019.9	P_379
W	22.415249269	-100.939289406	1887.7	P_380
W	22.583485796	-100.975311312	1661.0	P_381
W	22.051081233	-101.063480679	2250.2	P_382
W	22.351375304	-100.895859393	1860.5	P_383
W	22.082034410	-101.027339747	2260.9	P_384
W	22.535742474	-101.074573227	1773.8	P_385
W	22.281828980	-100.911149249	1831.0	P_386
W	22.410457839	-100.984406196	1825.0	P_387
W	22.113380015	-100.910015714	1847.0	P_388
W	22.161630322	-101.015818079	1886.0	P_389
W	22.433867763	-100.846061613	1827.0	P_390
W	22.097715024	-101.005947180	2221.4	P_391
